Date,STOCKS,MARKET,CASH,ENERGY,REALEST,UST10,GOLD,SILVER,CMDTY,CPI
1926-07-31,,0.0311,0.0022,-0.0135,0.029,0.0002577529582,,,,-0.01129943503
1926-08-31,,0.0289,0.0025,0.0364,0.0531,0.003083333333,,,,-0.005714285714
1926-09-30,,0.0061,0.0023,-0.0359,-0.0306,0.005897239476,,,,0.005747126437
1926-10-31,,-0.0295,0.0032,-0.0104,-0.0575,0.01155354954,,,,0.005714285714
1926-11-30,,0.0285,0.0031,0.0005,0.0221,0.01154906527,,,,0.005681818182
1926-12-31,,0.029,0.0028,0.0294,0.0795,0.01010883255,,,,0
1927-01-31,-0.0024,0.002,0.0025,0.0167,-0.0156,0.007221819149,,,,-0.01129943503
1927-02-28,0.0704,0.0443,0.0026,0.0112,0.043,0.01881129145,,,,-0.005714285714
1927-03-31,0.055,0.0044,0.003,-0.0703,-0.043,0.005706505688,,,,-0.005747126437
1927-04-30,0.0549,0.0072,0.0025,-0.0579,0.0069,0.008608933905,,,,0
1927-05-31,0.0599,0.0575,0.003,0.0496,0.0434,-0.001592840526,,,,0.005780346821
1927-06-30,-0.0177,-0.0212,0.0026,-0.0313,0.0359,-0.0001122321922,,,,0.01149425287
1927-07-31,0.1304,0.0756,0.003,0.0292,0.0391,0.0086120264,,,,-0.01704545455
1927-08-31,0.0557,0.0227,0.0028,-0.0026,0.0216,0.005677924115,,,,-0.005780346821
1927-09-30,0.0729,0.0498,0.0021,0.0348,-0.0051,0.004206942347,,,,0.005813953488
1927-10-31,-0.0604,-0.0404,0.0025,-0.0174,-0.0425,0.01153082724,,,,0.005780346821
1927-11-30,0.0621,0.0673,0.0021,0.0389,0.0977,0.01152870663,,,,-0.005747126437
1927-12-31,0.05,0.0231,0.0022,0.0006,0.0097,0.001170160996,,,,0
1928-01-31,-0.0084,-0.0032,0.0025,-0.0171,0.0172,0.001179826913,,,,0
1928-02-29,0.0017,-0.0136,0.0033,-0.0008,0.02,0.00560401332,,,,-0.01156069364
1928-03-31,0.1275,0.0908,0.0029,0.0565,0.0245,-0.001764860054,,,,0
1928-04-30,0.0292,0.0447,0.0022,0.164,0.2438,-0.003187478016,,,,0
1928-05-31,0.0521,0.0184,0.0032,-0.0579,0.033,-0.004584711735,,,,0.005847953216
1928-06-30,-0.0357,-0.0459,0.0031,-0.0392,-0.066,-0.01597830374,,,,-0.005813953488
1928-07-31,0.0219,0.0095,0.0032,0.0118,-0.0052,-0.005743638298,,,,0
1928-08-31,0.0913,0.0701,0.0032,0.0245,0.0483,0.005769682536,,,,0
1928-09-30,0.0567,0.0314,0.0027,0.0575,-0.013,0.001449777007,,,,0.01169590643
1928-10-31,0.0728,0.0172,0.0041,0.0226,-0.0186,0.01589829574,,,,-0.005780346821
1928-11-30,0.246,0.122,0.0038,0.179,0.0805,-0.007236228462,,,,0
1928-12-31,0.0218,0.0046,0.0006,-0.0456,-0.017,-0.007115095716,,,,-0.005813953488
1929-01-31,-0.0214,0.05,0.0034,-0.0809,0.156,-0.01121147145,,,,0
1929-02-28,0.0317,0.0002,0.0036,-0.0022,0.0567,-0.0137771375,,,,0
1929-03-31,0.0236,-0.0051,0.0034,0.1219,-0.0364,0.0172363153,,,,-0.005847953216
1929-04-30,0.0065,0.0183,0.0036,0.0089,0.0334,0.003033333333,,,,-0.005882352941
1929-05-31,-0.1235,-0.0594,0.0044,-0.0562,-0.0842,-0.003995187458,,,,0.005917159763
