Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
A,Y,2.7538e+08,165.32,,,2026-09-23
AA,Y,2.11509e+08,44.02,,,2026-09-23
AAL,Y,9.6633e+08,13.35,0.808965,28,2026-09-23
AAON,Y,9.42095e+07,82.36,,,2026-09-23
AAP,Y,7.99505e+07,41.1,,,2026-09-23
AAPL,Y,1.36255e+10,337.02,1.07636,23,2026-09-23
ABT,Y,9.31966e+08,103.49,,,2026-09-23
ACAD,Y,3.86992e+07,25.43,,,2026-09-23
ACGL,Y,1.88769e+08,95.16,,,2026-09-23
ACHC,Y,5.72173e+07,28.51,,,2026-09-23
ACIW,Y,4.83243e+07,49.22,,,2026-09-23
ACM,Y,1.02142e+08,61.45,,,2026-09-23
ACN,Y,9.73851e+08,183.52,,,2026-09-23
ADBE,Y,1.22809e+09,240.69,-2.87871,72,2026-09-23
ADC,Y,8.98065e+07,67.12,,,2026-09-23
ADEA,Y,2.58848e+07,25.05,2.54437,11,2026-09-23
ADI,Y,1.28954e+09,385.23,,,2026-09-23
ADM,Y,2.83492e+08,82.15,,,2026-09-23
ADP,Y,5.81051e+08,263.68,,,2026-09-23
ADSK,Y,4.49384e+08,217.15,,,2026-09-23
AEE,Y,1.55203e+08,99.74,,,2026-09-23
AEHL,N,874804,8.225,,,2026-09-23
AEHR,Y,2.08109e+08,97.38,,,2026-09-23
AEM,Y,4.12591e+08,195.57,,,2026-09-23
AEO,Y,7.67774e+07,15.92,,,2026-09-23
AEP,Y,4.65694e+08,118.4,,,2026-09-23
AER,Y,1.52704e+08,144.76,,,2026-09-23
AES,Y,1.0681e+08,14.81,,,2026-09-23
AFL,Y,2.2512e+08,115.23,,,2026-09-23
AG,Y,1.78897e+08,19.05,-0.152087,39,2026-09-23
AGI,Y,1.16133e+08,34.49,,,2026-09-23
AIG,Y,2.59973e+08,75.58,,,2026-09-23
AJG,Y,3.51183e+08,229.64,,,2026-09-23
AKAM,Y,3.64681e+08,118.44,,,2026-09-23
AKR,Y,2.79185e+07,19.11,,,2026-09-23
ALB,Y,2.67665e+08,113.47,,,2026-09-23
ALK,Y,1.13927e+08,39.7,,,2026-09-23
ALKS,Y,7.7488e+07,42.13,,,2026-09-23
ALL,Y,3.96017e+08,225.66,,,2026-09-23
ALNY,Y,3.72979e+08,246.51,,,2026-09-23
AMAT,Y,3.55253e+09,474.38,2.73797,8,2026-09-23
AMD,Y,1.21573e+10,614.61,2.178,14,2026-09-23
AME,Y,2.76651e+08,246.45,,,2026-09-23
AMGN,Y,1.0057e+09,406.09,,,2026-09-23
AMKR,Y,2.35245e+08,53.32,,,2026-09-23
AMX,Y,4.69717e+07,22.08,,,2026-09-23
AMZN,Y,8.86067e+09,249.27,-0.0943851,38,2026-09-23
ANF,Y,1.18279e+08,132.25,,,2026-09-23
AON,Y,4.33728e+08,281.6,,,2026-09-23
